Variant,Variant_Name,Class,Class_Name,DICE_mean,DICE_std,DICE_min,DICE_max,PRECISION_mean,PRECISION_std,PRECISION_min,PRECISION_max,RECALL_mean,RECALL_std,RECALL_min,RECALL_max,IOU_mean,IOU_std,IOU_min,IOU_max,SPECIFICITY_mean,SPECIFICITY_std,SPECIFICITY_min,SPECIFICITY_max,HD95_mean,HD95_std,HD95_min,HD95_max
0,Baseline U-Net,0,Background,0.9927390233560847,0.0008557022828112749,0.9913005323279758,0.9937827027076672,0.9998071022132567,1.8745223138585155e-05,0.9997737850569476,0.9998301955531911,0.9857716671626623,0.0017029062811467098,0.9829151730515912,0.9878629950283033,0.9855841625733465,0.0016861036795099535,0.9827511207235952,0.9876422372999091,0.9884649412892275,0.0011392510163471315,0.9864455114710715,0.9898770819191928,8.217149209339615,0.28010510786012727,7.810249675906654,8.54400374531753
0,Baseline U-Net,1,Ventricles,0.8360783965714017,0.023547299710068564,0.7921353527644173,0.8598566120672907,0.7320829632556957,0.035518712374533225,0.6661098652112766,0.7690101293746738,0.9758784683064947,0.0008913042946155428,0.9747035036995493,0.9769754410347683,0.719018170870451,0.03407980179602355,0.6558146681230903,0.7541653279473644,0.9970126783502149,0.0005678232400968353,0.9959417392612191,0.9975729258572616,3.644619786013603,0.3416820384482594,3.3166247903554,4.242640687119285
0,Baseline U-Net,2,Normal_WMH,0.43170282628072193,0.02077646515832477,0.397340335422426,0.4543604913578635,0.28559861264448017,0.01820244697696441,0.25601902385758923,0.3057998784873526,0.8867653413977777,0.0027492759811260288,0.8836430423485209,0.8906385047512677,0.275490922387409,0.01678965614774238,0.24792558532828382,0.2939627829240887,0.9942284092052104,0.000540510564434839,0.9933342228207953,0.9948119362698458,5.670303135052444,0.21831710105811547,5.385164807134504,6.0
0,Baseline U-Net,3,Abnormal_WMH,0.5950702199278168,0.02847074647570005,0.5562080131455882,0.6363977316370455,0.44516391732477223,0.03037111294195177,0.4051361484164979,0.49088893845990933,0.8994566683353249,0.007186630007659639,0.886940772994121,0.9070941389530177,0.42414407746760646,0.028890847865773363,0.38524109997133177,0.46670333894432436,0.9938399377184371,0.0007065674074864757,0.9928972797775213,0.994883684794961,8.454363326120031,1.0600663894099434,7.0,9.433981132056603
1,Baseline Pix2Pix (Softmax + WCE),0,Background,0.9972726057430403,0.00019947661017745517,0.9969053983952461,0.9974789191282033,0.9981202095501635,0.0001653445261522865,0.9978793605489084,0.9983196414837746,0.9964266131503023,0.0004736386166011915,0.9955394458150354,0.99696002973466,0.9945601272978667,0.00039670926961564055,0.9938298908202613,0.9949705179873038,0.8861964112383347,0.01006099898729596,0.871567355843603,0.8982897980566323,7.358405311408025,0.2321018591958458,7.211102550927978,7.810249675906654
1,Baseline Pix2Pix (Softmax + WCE),1,Ventricles,0.8676362177474968,0.01409294807259979,0.8451710877232205,0.8856303276501375,0.8209284959489587,0.034335553330312456,0.7622532485668403,0.8699374463380597,0.921694458337144,0.018937467713608668,0.9002043048118444,0.9483303803791522,0.7664891994803973,0.02188390227608749,0.7318582681281686,0.794736566890425,0.998310883412689,0.0004296010644529966,0.9975488293413719,0.9988825679832544,3.4978744146550866,0.40604750867519823,3.1622776601683795,4.242640687119285
1,Baseline Pix2Pix (Softmax + WCE),2,Normal_WMH,0.6275955493745045,0.017313611082647277,0.5980883609216516,0.6505165850997138,0.6394550374601378,0.05666401023487321,0.5783771734271548,0.7416157013201358,0.6277711754520642,0.06695312809830206,0.5011073897998566,0.7007886776126275,0.45752685988630193,0.018273242401879143,0.4266234363492765,0.48204859571970415,0.9990445926613022,0.00028851065880000003,0.9986787618334362,0.9995484570419395,5.185802240525523,0.327803481007252,4.69041575982343,5.477225575051661
1,Baseline Pix2Pix (Softmax + WCE),3,Abnormal_WMH,0.7999532582921899,0.015023215254137422,0.770958842407088,0.814736893607154,0.759869171226104,0.03806091171556131,0.6863177521370066,0.7928782053664877,0.8469320385844515,0.021560685867219657,0.8185426380475787,0.879413766969957,0.6668590505990957,0.020553786368679428,0.6272848046171356,0.6873890608868035,0.998516840938585,0.00036643908836723,0.9978078439144445,0.9988337970613465,5.1885203347447195,0.2815257287363665,5.0,5.744562646538029
2,Baseline Pix2Pix (Softmax + Focal),0,Background,0.9971526294866815,0.00023012712778812898,0.9968057056334412,0.9973916282899333,0.9980366007328518,0.0003661652799377289,0.9974062869733331,0.9984462690917474,0.9962707866102706,0.0007306631569516611,0.9951705246046793,0.9970780930208308,0.9943215329793187,0.00045760098838605097,0.9936317533213728,0.9947968283855086,0.8811259330517867,0.02229389599241578,0.8427662151363425,0.9060892122415989,7.411462074439415,0.2650092812454025,7.0710678118654755,7.810249675906654
2,Baseline Pix2Pix (Softmax + Focal),1,Ventricles,0.8690962633609592,0.01059701332604824,0.8556451149067614,0.8826182278941628,0.8381359267097789,0.02297678035118595,0.799053337423267,0.8681584492887918,0.9031510414451359,0.015247605242434233,0.8828172022949256,0.9273573469189585,0.7686523138898462,0.016562529131476187,0.7477095838473623,0.789898537749336,0.9985454556183907,0.0002666638643335014,0.9980673610725141,0.9988704143469601,3.5334058841887215,0.5612867872848226,3.0,4.58257569495584
