Variant,Variant_Name,N_Folds,Best_Epoch_Mean,Best_Epoch_Std,Best_Epoch_Min,Best_Epoch_Max,Composite_Score_Mean,Composite_Score_Std,Best_Epoch_Val_Loss_Mean,Best_Epoch_Val_Loss_Std,Best_Epoch_Dice_Mean_Mean,Best_Epoch_Dice_Mean_Std,Best_Epoch_Dice_Ventricles_Mean,Best_Epoch_Dice_Ventricles_Std,Best_Epoch_Dice_Abnormal_WMH_Mean,Best_Epoch_Dice_Abnormal_WMH_Std
0,Baseline U-Net,5,46.8,10.590561835898981,27,59,0.609904906619916,0.051708712531725244,0.004122822871431708,0.001711967469671975,0.6958039086748363,0.018474800486234393,0.8464150480801168,0.013700933526097097,0.5177285833892491,0.07928026703397542
1,Baseline Pix2Pix (Softmax + WCE),5,28.0,8.966604708583958,19,45,0.7590923799306173,0.027366629133370027,0.008406263124197722,0.005367815353465356,0.8054831114302626,0.01431149395459147,0.8821689933729054,0.011212025745914681,0.7126236667116523,0.03846574308058901
2,Baseline Pix2Pix (Softmax + Focal),5,35.4,8.212186067059125,21,44,0.7581426926337801,0.03381100671274804,0.008793107327073812,0.0029174498230602128,0.8021331211186205,0.011791668045960005,0.876379268305102,0.01732075778694496,0.7173151171858381,0.03486714835944042
3,Baseline Pix2Pix + Attention D (Fixed Weights),5,42.6,11.60344776348823,25,55,0.7804123341489974,0.020064563147576653,0.01187505554407835,0.004094829165779693,0.8106141852576204,0.010417865512085648,0.8808012286490339,0.010755664493368216,0.7329566688178035,0.03273957207137297
4,Baseline Pix2Pix + Adaptive Hybrid (WCE→UFL),5,53.6,9.372299611087985,35,60,0.7426759140916165,0.020016597407759483,0.01131930872797966,0.003686877435252156,0.8196385670827407,0.014077639126014087,0.8970913130754077,0.005807514657970164,0.734406227022494,0.02939406226754234
5,Baseline Pix2Pix + Attention D + Adaptive Hybrid (WCE→UFL),5,33.0,9.011104260855047,25,50,0.730466304185644,0.016537065995413647,0.198275825381279,0.015312770575028015,0.8323226789686105,0.009490826193840349,0.9132687170724001,0.0055542318711745055,0.7483450894940226,0.026323370532288837
